,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.5053294956557537
1,100% Corpus,2,0.01,0.31,0.47055823259227647
2,100% Corpus,2,0.01,0.61,0.44493510332527375
3,100% Corpus,2,0.01,0.9099999999999999,0.42990279259630626
4,100% Corpus,2,0.01,symmetric,0.4686478452902816
5,100% Corpus,2,0.31,0.01,0.573751523124132
6,100% Corpus,2,0.31,0.31,0.541573332788003
7,100% Corpus,2,0.31,0.61,0.5001035519460264
8,100% Corpus,2,0.31,0.9099999999999999,0.504626093394916
9,100% Corpus,2,0.31,symmetric,0.5738688263193195
10,100% Corpus,2,0.61,0.01,0.5600937656324858
11,100% Corpus,2,0.61,0.31,0.5347413395065086
12,100% Corpus,2,0.61,0.61,0.468072481475052
13,100% Corpus,2,0.61,0.9099999999999999,0.44532770686884965
14,100% Corpus,2,0.61,symmetric,0.5519111144065207
15,100% Corpus,2,0.9099999999999999,0.01,0.585663459482367
16,100% Corpus,2,0.9099999999999999,0.31,0.5109664066041497
17,100% Corpus,2,0.9099999999999999,0.61,0.4678054589038195
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.47396061653685734
19,100% Corpus,2,0.9099999999999999,symmetric,0.5393941085373907
20,100% Corpus,2,symmetric,0.01,0.5367158086656041
21,100% Corpus,2,symmetric,0.31,0.46374423987016467
22,100% Corpus,2,symmetric,0.61,0.45423032943889374
23,100% Corpus,2,symmetric,0.9099999999999999,0.44159782818500215
24,100% Corpus,2,symmetric,symmetric,0.5084017716224412
25,100% Corpus,2,asymmetric,0.01,0.523305366648222
26,100% Corpus,2,asymmetric,0.31,0.47502391302661684
27,100% Corpus,2,asymmetric,0.61,0.41866964869280465
28,100% Corpus,2,asymmetric,0.9099999999999999,0.4397434331419209
29,100% Corpus,2,asymmetric,symmetric,0.5075308633392384
30,100% Corpus,3,0.01,0.01,0.5044643877830975
31,100% Corpus,3,0.01,0.31,0.47055823259227647
32,100% Corpus,3,0.01,0.61,0.45189870321237285
33,100% Corpus,3,0.01,0.9099999999999999,0.42990279259630626
34,100% Corpus,3,0.01,symmetric,0.47158955119359147
35,100% Corpus,3,0.31,0.01,0.5691602568846871
36,100% Corpus,3,0.31,0.31,0.541573332788003
37,100% Corpus,3,0.31,0.61,0.5001035519460264
38,100% Corpus,3,0.31,0.9099999999999999,0.504626093394916
39,100% Corpus,3,0.31,symmetric,0.5726093108332013
40,100% Corpus,3,0.61,0.01,0.5600937656324858
41,100% Corpus,3,0.61,0.31,0.5347413395065086
42,100% Corpus,3,0.61,0.61,0.468072481475052
43,100% Corpus,3,0.61,0.9099999999999999,0.44532770686884965
44,100% Corpus,3,0.61,symmetric,0.5643492025046968
45,100% Corpus,3,0.9099999999999999,0.01,0.5730123933232625
46,100% Corpus,3,0.9099999999999999,0.31,0.5109664066041497
47,100% Corpus,3,0.9099999999999999,0.61,0.4678054589038195
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.47396061653685734
49,100% Corpus,3,0.9099999999999999,symmetric,0.5393941085373907
50,100% Corpus,3,symmetric,0.01,0.5367158086656041
51,100% Corpus,3,symmetric,0.31,0.46374423987016467
52,100% Corpus,3,symmetric,0.61,0.462349720476424
53,100% Corpus,3,symmetric,0.9099999999999999,0.44159782818500215
54,100% Corpus,3,symmetric,symmetric,0.5084017716224412
55,100% Corpus,3,asymmetric,0.01,0.523305366648222
56,100% Corpus,3,asymmetric,0.31,0.47502391302661684
57,100% Corpus,3,asymmetric,0.61,0.4275317952160994
58,100% Corpus,3,asymmetric,0.9099999999999999,0.4397434331419209
59,100% Corpus,3,asymmetric,symmetric,0.5075308633392384
60,100% Corpus,4,0.01,0.01,0.5064646392948784
61,100% Corpus,4,0.01,0.31,0.46160105593119194
62,100% Corpus,4,0.01,0.61,0.44493510332527375
63,100% Corpus,4,0.01,0.9099999999999999,0.4246220420169583
64,100% Corpus,4,0.01,symmetric,0.4686478452902816
65,100% Corpus,4,0.31,0.01,0.573751523124132
66,100% Corpus,4,0.31,0.31,0.541573332788003
67,100% Corpus,4,0.31,0.61,0.5001035519460264
68,100% Corpus,4,0.31,0.9099999999999999,0.504626093394916
69,100% Corpus,4,0.31,symmetric,0.5726093108332012
70,100% Corpus,4,0.61,0.01,0.5600937656324858
71,100% Corpus,4,0.61,0.31,0.5347413395065086
72,100% Corpus,4,0.61,0.61,0.468072481475052
73,100% Corpus,4,0.61,0.9099999999999999,0.44532770686884965
74,100% Corpus,4,0.61,symmetric,0.5643492025046968
75,100% Corpus,4,0.9099999999999999,0.01,0.5746557823478897
76,100% Corpus,4,0.9099999999999999,0.31,0.5109664066041497
77,100% Corpus,4,0.9099999999999999,0.61,0.4678054589038195
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.47396061653685734
79,100% Corpus,4,0.9099999999999999,symmetric,0.5393941085373907
80,100% Corpus,4,symmetric,0.01,0.5367158086656041
81,100% Corpus,4,symmetric,0.31,0.46374423987016467
82,100% Corpus,4,symmetric,0.61,0.462349720476424
83,100% Corpus,4,symmetric,0.9099999999999999,0.44159782818500215
84,100% Corpus,4,symmetric,symmetric,0.5084017716224412
85,100% Corpus,4,asymmetric,0.01,0.5265551536573014
86,100% Corpus,4,asymmetric,0.31,0.48390461966819986
87,100% Corpus,4,asymmetric,0.61,0.41866964869280465
88,100% Corpus,4,asymmetric,0.9099999999999999,0.4397434331419209
89,100% Corpus,4,asymmetric,symmetric,0.5075308633392384
